id,role,story,acceptance_criteria,priority,status
US001,admin,"כמנהל מערכת אני רוצה להתחבר דרך API מאובטח כאשר פרויקט נגזר מוסיף UI מתאים","התחברות תקינה יוצרת HttpOnly Cookie; אין JWT ב-localStorage; אין מסך התחברות מובנה בבסיס",critical,implemented
US002,admin,"כמנהל ראשוני אני רוצה להחליף את הסיסמה הזמנית דרך API","הסיסמה 123123 מחייבת החלפה; הסיסמה החדשה חייבת להיות מעל 6 תווים ונשמרת כגיבוב",critical,implemented
US003,admin,"כמנהל מערכת אני רוצה להעלות קובץ מהמחשב דרך API","קובץ מעל 5MB או מסוג אסור נדחה; קובץ תקין נשמר בשם אקראי",critical,implemented
US004,developer,"כמפתח אני רוצה לערוך פרטי אתר בקובץ JSON פשוט","src/app/site-config.json כולל לוגו שם תיאור סלוגן favicon טלפון כתובת אינסטגרם פייסבוק וואצפ",high,implemented
US005,developer,"כמפתח אני רוצה שהבסיס לא יכלול ממשק ניהול או התחברות","אין קבצי pages/components של admin/login ואין router שמציג אותם",critical,implemented
US006,guest,"כמבקר אני רוצה לקבל את פרטי האתר הציבוריים","/api/public/settings מחזיר רק את שדות site-config.json",high,implemented
US007,admin,"כמנהל מערכת אני רוצה להתנתק דרך API","ה-Cookie נמחק והגישה לנתיבי ניהול נחסמת מיד",high,implemented
US008,developer,"כמפתח אני רוצה להגדיר Design Profile עצמאי לכל פרויקט","פרויקט נגזר יכול להשתמש במערכת העיצוב בלי לקבל Admin UI מובנה",critical,implemented
US009,developer,"כמפתח אני רוצה שה-build יחסום את עיצוב התשתית בפרודקשן","reference profile נכשל ב-NODE_ENV=production גם אם override פיתוח פעיל",critical,implemented
US010,AI Manager,"כמנהל AI אני רוצה לקבל את כל מקורות האמת והחוזים אוטומטית","לפני כל משימה נטענים bootstrap manifest context ו-status; context מיושן חוסם build",critical,implemented
US011,AI Manager,"כמנהל AI אני רוצה לזהות מקורות כפולים והפניות שבורות","context:check נכשל על duplicate source או Role API Table Component לא קיימים",critical,implemented
