module,owner,status,source_of_truth,runtime_path,depends_on,notes
public-leads,AI DB;AI API;AI Components;AI Permissions,implemented,agents/db/info/public_leads.csv,src,"public-site;activities;groups;authentication","public lead submission and admin lead viewing"
activities,AI DB,implemented,agents/db/info/activities.csv,agents/db/domain,"users;media","public and admin-ready activity templates"
groups,AI DB,implemented,agents/db/info/groups.csv,agents/db/domain,"activities;users","public and admin-ready activity groups"
public-site,AI API;AI Components;AI Permissions,implemented,agents/components/info/components_list.csv,src,"activities;groups;general-settings;media","public home and activities pages with read-only APIs"
authentication,AI API,implemented,agents/api/info/api_list.csv,src/server,"users;permissions;environment","JWT HttpOnly Cookie"
users,AI DB,implemented,agents/db/info/users.csv,agents/db/domain,"environment;permissions","bootstrap admin"
crm-identity-foundation,AI DB;AI API;AI Permissions,implemented,agents/db/info/users.csv,src/server,"users;permissions;authentication","student instructor admin roles with students and instructors extension tables"
admin-user-management,AI API;AI DB;AI Permissions,implemented,agents/api/info/api_list.csv,src/server,"crm-identity-foundation;authentication;permissions","admin APIs for creating listing updating resetting password and archiving users"
admin-user-management-ui,AI Components,implemented,agents/components/info/components_list.csv,src,"admin-user-management;admin-spa;authentication","admin page for listing creating editing resetting passwords and archiving users"
general-settings,AI DB;AI API;AI Components,implemented,agents/db/info/site_settings.csv,src,"users;media","singleton id=1"
media,AI DB;AI API;AI Components,implemented,agents/db/info/media_assets.csv,src,"users;environment","PNG JPEG WebP up to 5MB"
admin-spa,AI Components,implemented,agents/components/info/components_list.csv,src,"authentication;api;design","RTL responsive"
design-profiles,AI Components,implemented,design-system/project-profile.json,src/design,"build;qa","reference blocked in production"
context-bootstrap,AI Manager,implemented,shared-info/system_manifest.json,shared-info,"all sources of truth","mandatory before every task"
